"","temp","wd","ws","atmos_pres","dew_point","rh","ceil_hgt","visibility","aa1_1","aa1_2","aa1_3","aa1_4","year","month","day","timestamp"
"79",-4.4,210,1.5,1011.8,-5.6,91.3,1981,16093,1,0,"9","5",2019,1,4,"06:00"
"80",-3.3,200,3.1,1011.2,-5,88,1829,16093,1,0,"9","5",2019,1,4,"07:00"
"81",-3.3,190,2.6,1011.8,-4.4,92.1,2438,16093,1,0,"9","5",2019,1,4,"08:00"
"82",-2.2,180,1.5,1011.4,-3.9,88.1,3048,16093,1,0,"9","5",2019,1,4,"09:00"
"83",0,190,3.1,1010.8,-3.9,75,22000,16093,1,0,"9","5",2019,1,4,"10:00"
"84",1.1,200,3.1,1009.8,-3.3,72.5,22000,16093,1,0,"9","5",2019,1,4,"11:00"
"85",2.2,200,3.1,1008.6,-3.3,67,22000,16093,1,0,"9","5",2019,1,4,"12:00"
"86",2.2,999,3.1,1008,-3.3,67,22000,16093,1,0,"9","5",2019,1,4,"13:00"
"87",2.2,999,3.1,1007.8,-2.8,69.5,22000,16093,1,0,"9","5",2019,1,4,"14:00"
"88",2.8,220,4.1,1007.8,-2.8,66.6,22000,16093,1,0,"9","5",2019,1,4,"15:00"
"89",2.2,999,0,1007.9,-3.3,67,22000,16093,1,0,"9","5",2019,1,4,"16:00"
"90",1.7,200,1.5,1008.2,-3.3,69.4,22000,16093,1,0,"9","5",2019,1,4,"17:00"
"91",-0.6,210,1.5,1008,-3.3,82,22000,16093,1,0,"9","5",2019,1,4,"18:00"
"92",-0.6,999,0,1008.4,-3.3,82,22000,16093,1,0,"9","5",2019,1,4,"19:00"
"93",-1.1,160,1.5,1008.6,-3.3,85,22000,16093,1,0,"9","5",2019,1,4,"20:00"
"94",-1.7,999,0,1008.2,-3.3,88.8,22000,16093,1,0,"9","5",2019,1,4,"21:00"
"95",-2.8,999,0,1007.7,-3.3,96.3,22000,16093,1,0,"9","5",2019,1,4,"22:00"
"96",-1.7,999,0,1007.7,-3.9,84.9,22000,16093,1,0,"9","5",2019,1,4,"23:00"
"97",-4.4,350,3.6,1007.2,-5,95.6,22000,12875,1,0,"9","5",2019,1,5,"00:00"
"98",-3.9,999,0,1007.4,-4.4,96.3,22000,12875,1,0,"9","5",2019,1,5,"01:00"
"99",-2.8,999,0,1007.5,-3.9,92.1,22000,16093,1,0,"9","5",2019,1,5,"02:00"
"100",-3.9,999,0,1007.2,-4.4,96.3,22000,11265,1,0,"9","5",2019,1,5,"03:00"
"101",-5,320,2.1,1006.8,-5.6,95.6,22000,11265,1,0,"9","5",2019,1,5,"04:00"
"102",-5,350,2.6,1006.9,-5.6,95.6,22000,12875,1,0,"9","5",2019,1,5,"05:00"
"103",-4.4,320,2.1,1006.6,-5.6,91.3,22000,11265,1,0,"9","5",2019,1,5,"06:00"
"104",-5,360,4.1,1006.4,-5.6,95.6,22000,12875,1,0,"9","5",2019,1,5,"07:00"
"105",-5.6,330,3.1,1006.4,-6.1,96.3,22000,9656,1,0,"9","5",2019,1,5,"08:00"
"106",-4.4,330,4.1,1006.8,-5.6,91.3,22000,11265,1,0,"9","5",2019,1,5,"09:00"
"107",-2.8,360,3.1,1006.6,-4.4,88.7,22000,12875,1,0,"9","5",2019,1,5,"10:00"
"108",-2.2,340,3.1,1005.4,-3.3,92.2,22000,12875,1,0,"9","5",2019,1,5,"11:00"
"109",-1.1,330,2.6,1004.2,-2.8,88.2,3048,16093,1,0,"9","5",2019,1,5,"12:00"
"110",0.6,330,2.1,1003.2,-2.8,78,396,16093,1,0,"9","5",2019,1,5,"13:00"
"111",1.1,360,3.1,1002.1,-2.2,78.6,366,16093,1,0,"9","5",2019,1,5,"14:00"
"112",0.6,350,3.6,1002.5,-2.2,81.5,335,16093,1,0,"9","5",2019,1,5,"15:00"
"113",0.6,350,2.6,1002,-2.2,81.5,366,16093,1,0,"9","5",2019,1,5,"16:00"
"114",0.6,330,3.6,1001.4,-2.2,81.5,305,16093,1,0,"9","5",2019,1,5,"17:00"
"115",0.6,350,4.6,1001.7,-1.7,84.6,335,16093,1,0,"2","5",2019,1,5,"18:00"
"116",1.1,10,4.6,1001.5,-1.1,85.3,335,16093,1,0,"2","5",2019,1,5,"19:00"
"117",0.6,340,3.6,1001.5,-1.1,85.3,274,16093,1,0,"9","5",2019,1,5,"20:00"
"118",0,340,3.1,1001.4,-1.1,88.4,335,16093,1,0,"9","5",2019,1,5,"21:00"
"119",0,330,3.6,1001,-1.7,88.3,335,16093,1,0,"9","5",2019,1,5,"22:00"
"120",-1.1,340,3.1,1001.1,-2.2,88.9,2438,16093,1,0,"9","5",2019,1,5,"23:00"
"121",0,310,2.1,1000.7,-1.7,88.3,1189,16093,1,0,"2","5",2019,1,6,"00:00"
"122",0,330,2.6,1000.7,-1.7,88.3,1097,16093,1,0,"9","5",2019,1,6,"01:00"
"123",1.1,300,2.1,1001.4,-2.2,78.6,884,16093,1,0,"9","5",2019,1,6,"02:00"
"124",1.1,300,2.1,1001.7,-2.2,78.6,1189,16093,1,0,"9","5",2019,1,6,"03:00"
"125",1.1,300,3.1,1001.5,-2.2,78.6,22000,16093,1,0,"9","5",2019,1,6,"04:00"
"126",1.1,290,4.1,1001.9,-2.8,75.2,1341,16093,1,0,"9","5",2019,1,6,"05:00"
"127",1.1,290,3.6,1002.7,-3.3,72.5,22000,16093,1,0,"9","5",2019,1,6,"06:00"
"128",0,300,3.1,1003.5,-3.3,78.5,22000,16093,1,0,"9","5",2019,1,6,"07:00"
"129",1.1,270,4.1,1004.2,-2.8,75.2,22000,16093,1,0,"9","5",2019,1,6,"08:00"
"130",1.7,270,3.6,1005,-2.2,75.3,1341,16093,1,0,"9","5",2019,1,6,"09:00"
"131",2.2,270,2.6,1005.6,-2.2,72.7,1158,14484,1,0,"2","5",2019,1,6,"10:00"
"132",3.3,280,3.1,1005.3,-2.2,67.2,1067,16093,1,0,"9","5",2019,1,6,"11:00"
"133",3,320,2.1,1005.2,-2.2,67.2,853,16093,1,0,"9","5",2019,1,6,"12:00"
"134",2.8,320,5.1,1005.5,-2.8,66.6,1250,16093,1,0,"9","5",2019,1,6,"13:00"
"135",3.9,310,6.2,1006.1,-4.4,54.7,1676,16093,1,0,"9","5",2019,1,6,"14:00"
"136",2.8,300,5.1,1007.8,-6.7,49.6,1829,16093,1,0,"9","5",2019,1,6,"15:00"
"137",0.6,300,4.6,1009.5,-8.3,51.3,22000,16093,1,0,"9","5",2019,1,6,"16:00"
"138",-1.7,290,7.2,1011.3,-11.1,48.7,1524,16093,1,0,"2","5",2019,1,6,"17:00"
"139",-3.9,300,6.2,1013.2,-10,62.6,1036,14484,1,0,"2","5",2019,1,6,"18:00"
"140",-5,320,8.8,1015.1,-12.2,57,1097,16093,1,0,"9","5",2019,1,6,"19:00"
"141",-6.7,320,6.7,1016.8,-14.4,54.3,1402,16093,1,0,"9","5",2019,1,6,"20:00"
"142",-6.7,320,6.7,1017.2,-13.9,56.6,1311,16093,1,0,"9","5",2019,1,6,"21:00"
"143",-6.7,320,6.7,1017.6,-13.9,56.6,1524,16093,1,0,"9","5",2019,1,6,"22:00"
"144",-7.2,310,9.3,1018.1,-15,53.7,22000,16093,1,0,"9","5",2019,1,6,"23:00"
"145",-8.3,310,6.7,1019.1,-16.1,53.4,22000,16093,1,0,"2","5",2019,1,7,"00:00"
"146",-9.4,310,6.2,1019.6,-16.7,55.4,22000,16093,1,0,"9","5",2019,1,7,"01:00"
"147",-10,310,3.1,1021.2,-17.2,55.7,22000,16093,1,0,"9","5",2019,1,7,"02:00"
"148",-10.6,310,4.6,1022.1,-17.8,55.5,22000,16093,1,0,"9","5",2019,1,7,"03:00"
"149",-11.1,310,4.1,1023.3,-18.3,55.3,22000,16093,1,0,"9","5",2019,1,7,"04:00"
"150",-11.7,320,6.2,1023.9,-18.9,55.2,22000,16093,1,0,"9","5",2019,1,7,"05:00"
"151",-12.2,310,5.1,1025.6,-19.4,55,22000,16093,1,0,"9","5",2019,1,7,"06:00"
"152",-12.8,320,3.6,1026.6,-21.1,49.9,22000,16093,1,0,"9","5",2019,1,7,"07:00"
"153",-12.2,310,5.7,1027.7,-21.7,45.1,22000,16093,1,0,"9","5",2019,1,7,"08:00"
"154",-11.1,330,6.7,1028.7,-21.7,41.3,22000,16093,1,0,"9","5",2019,1,7,"09:00"
"155",-10,330,7.7,1028.7,-21.1,39.9,22000,16093,1,0,"9","5",2019,1,7,"10:00"
"156",-7.8,350,6.7,1028.6,-20,36.9,22000,16093,1,0,"9","5",2019,1,7,"11:00"
"157",-7.2,350,5.7,1028.5,-21.1,32.1,22000,16093,1,0,"9","5",2019,1,7,"12:00"
"158",-6.7,360,6.7,1028.6,-20,33.9,22000,16093,1,0,"9","5",2019,1,7,"13:00"
"159",-6.7,350,6.2,1028.7,-20.6,32.2,22000,16093,1,0,"9","5",2019,1,7,"14:00"
"160",-6.7,330,5.1,1029.3,-20,33.9,22000,16093,1,0,"9","5",2019,1,7,"15:00"
"161",-7.2,10,4.1,1029.4,-21.1,32.1,22000,16093,1,0,"9","5",2019,1,7,"16:00"
"162",-8.3,320,3.6,1029.7,-21.1,34.9,22000,16093,1,0,"9","5",2019,1,7,"17:00"
"163",-9.4,340,1.5,1030,-20,41.8,22000,16093,1,0,"9","5",2019,1,7,"18:00"
"164",-8.9,999,0,1030.1,-21.1,36.6,22000,16093,1,0,"9","5",2019,1,7,"19:00"
"165",-8.9,20,1.5,1030.2,-20,40.2,22000,16093,1,0,"9","5",2019,1,7,"20:00"
"166",-8.9,40,1.5,1029.4,-18.9,44.2,22000,16093,1,0,"9","5",2019,1,7,"21:00"
"167",-9.4,999,0,1029.3,-18.3,48.4,22000,16093,1,0,"9","5",2019,1,7,"22:00"
"168",-9.4,999,0,1028.7,-17.8,50.5,22000,16093,1,0,"9","5",2019,1,7,"23:00"
"169",-9.4,999,0,1028,-17.2,53.1,22000,16093,1,0,"9","5",2019,1,8,"00:00"
"170",-9.4,999,0,1028.7,-16.7,55.4,22000,16093,1,0,"9","5",2019,1,8,"01:00"
"171",-8.9,999,0,1028.4,-16.7,53.2,3048,16093,1,0,"9","5",2019,1,8,"02:00"
"172",-8.9,150,1.5,1027.2,-16.7,53.2,2438,16093,1,0,"9","5",2019,1,8,"03:00"
"173",-9.4,150,1.5,1025.9,-15.6,58.3,701,2012,1,0,"2","1",2019,1,8,"04:00"
"174",-10,999,0,1024.4,-11.7,87.4,366,1207,1,0.5,"3","1",2019,1,8,"05:00"
"175",-9.4,999,0,1024.1,-11.1,87.4,427,1207,1,0.5,"3","1",2019,1,8,"06:00"
"176",-9.4,999,0,1023.1,-10.6,87.5,457,805,1,0.5,"3","1",2019,1,8,"07:00"
"177",-9,260,0,1022.4,-10,91.7,518,805,1,0.2,"3","1",2019,1,8,"08:00"
"178",-8.3,300,0,1021.5,-9.4,88.3,518,805,1,0,"2","1",2019,1,8,"09:00"
"179",-7.8,20,0,1021,-9,85.6,305,2816,1,0,"2","1",2019,1,8,"10:00"
"180",-7.2,330,0,1019.5,-8.9,87.6,244,4023,1,0,"2","1",2019,1,8,"11:00"
"181",-6.1,999,0,1017.7,-7.8,87.8,244,6437,1,0,"2","5",2019,1,8,"12:00"
"182",-6.1,999,0,1016.6,-7,92.6,183,2816,1,0,"9","5",2019,1,8,"13:00"
"183",-5,330,0,1015.7,-5.6,95.6,122,1609,1,0,"9","5",2019,1,8,"14:00"
"184",-4.4,330,2.1,1014.9,-5,95.6,122,2012,1,0,"9","5",2019,1,8,"15:00"
"185",-4.4,350,2.6,1013.5,-5,95.6,61,2012,1,0,"9","5",2019,1,8,"16:00"
"186",-5,330,3.1,1013.4,-5.6,95.6,61,2414,1,0,"2","1",2019,1,8,"17:00"
"187",-4.4,10,2.6,1012.8,-4.4,100,91,2816,1,0,"2","5",2019,1,8,"18:00"
"188",-3.9,10,2.6,1011.7,-4.4,96.3,61,2816,1,0.5,"3","1",2019,1,8,"19:00"
"189",-4.4,10,2.6,1010.3,-4.4,96.3,61,2414,1,0,"2","1",2019,1,8,"20:00"
"190",-3.9,10,2.6,1008.7,-4.4,96.3,61,1609,1,0,"2","1",2019,1,8,"21:00"
"191",-3.3,10,2.6,1007,-3.9,95.6,61,2012,1,0,"2","1",2019,1,8,"22:00"
"192",-3.3,360,3.6,1005.5,-3.9,95.6,61,2816,1,0,"9","5",2019,1,8,"23:00"
"193",-2.2,30,3.6,1003.1,-2.8,95.7,91,1609,1,0,"2","1",2019,1,9,"00:00"
"194",-2,300,2.6,1001.5,-2,95.7,61,1207,1,0.5,"3","1",2019,1,9,"01:00"
"195",-0.6,310,3.1,1000.8,-0.6,100,91,2012,1,0,"2","1",2019,1,9,"02:00"
"196",0,340,3.1,999.4,-0.6,95.7,91,805,1,0,"2","1",2019,1,9,"03:00"
"197",0,10,3.6,997.6,0,95.8,91,1207,1,0,"2","1",2019,1,9,"04:00"
"198",0.6,340,3.6,996,0.6,100,91,1207,1,0,"9","5",2019,1,9,"05:00"
"199",0,340,3.1,994.6,0,100,91,805,1,0,"9","5",2019,1,9,"06:00"
"200",0.6,360,3.6,993.1,0.6,100,91,805,1,0,"9","5",2019,1,9,"07:00"
"201",1.1,10,4.6,991.4,1.1,100,91,1207,1,0,"2","1",2019,1,9,"08:00"
"202",1.1,40,4.1,989.9,1.1,100,91,2012,1,1.2,"3","1",2019,1,9,"09:00"
"203",1.1,40,1.5,989,1.1,95.8,91,1207,1,0.2,"3","1",2019,1,9,"10:00"
"204",1.1,20,2.6,987.2,1,93.1,91,2012,1,0.2,"3","1",2019,1,9,"11:00"
"205",1,10,3.1,985.5,0.6,96.5,91,3219,1,0,"2","1",2019,1,9,"12:00"
"206",0,330,4.1,985.3,0,93,122,1609,1,0,"2","1",2019,1,9,"13:00"
"207",0.6,320,5.1,985.7,0,93,122,805,1,0,"2","1",2019,1,9,"14:00"
"208",0.6,310,5.1,986.5,0,95.8,213,805,1,0.2,"3","1",2019,1,9,"15:00"
"209",0,300,2.6,987.2,-0.6,95.7,274,805,1,0,"2","1",2019,1,9,"16:00"
"210",0,280,3.1,987.8,0,100,152,1207,1,0.2,"3","1",2019,1,9,"17:00"
"211",-1,280,5.1,988.4,-1.1,96.4,274,1207,1,0,"2","1",2019,1,9,"18:00"
"212",-1.1,270,4.6,989,-2,92.9,274,1207,1,0,"2","1",2019,1,9,"19:00"
"213",-1.1,280,6.7,989.5,-2.2,92.2,518,1609,1,0.3,"9","5",2019,1,9,"20:00"
"214",-1.7,270,4.6,990.2,-2.8,92.2,671,2816,1,0,"2","1",2019,1,9,"21:00"
"215",-2,270,4.1,990.5,-3.3,88.8,1280,4828,1,0,"2","5",2019,1,9,"22:00"
"216",-1.7,270,4.1,990.7,-3.3,88.8,1981,16093,1,0,"2","5",2019,1,9,"23:00"
"217",-1.7,270,4.6,990.7,-3.9,84.9,1676,16093,1,0,"2","5",2019,1,10,"00:00"
"218",-1.7,270,4.6,991,-3.9,84.9,1524,6437,1,0,"2","5",2019,1,10,"01:00"
"219",-2.2,280,5.1,991.6,-4.4,84.9,1981,16093,1,0,"2","5",2019,1,10,"02:00"
"220",-2.2,270,5.1,992.1,-5,81.1,1981,16093,1,0,"2","5",2019,1,10,"03:00"
"221",-2.8,270,4.1,992.3,-5,84.8,3048,16093,1,0,"9","5",2019,1,10,"04:00"
"222",-2.8,270,4.6,992.8,-5.6,81,2743,16093,1,0,"9","5",2019,1,10,"05:00"
"223",-2.8,270,4.6,993.3,-5.6,81,3048,16093,1,0,"9","5",2019,1,10,"06:00"
"224",-3.3,280,3.1,994,-5.6,84.1,3048,16093,1,0,"9","5",2019,1,10,"07:00"
"225",-3.3,290,3.6,994.7,-5,88,2591,16093,1,0,"9","5",2019,1,10,"08:00"
"226",-2.8,290,3.1,995.5,-5,84.8,1402,16093,1,0,"9","5",2019,1,10,"09:00"
"227",-2.8,280,2.1,995.8,-4.4,88.7,1219,16093,1,0,"2","5",2019,1,10,"10:00"
"228",-1.7,270,2.1,995.6,-3.9,84.9,1524,16093,1,0,"2","5",2019,1,10,"11:00"
"229",-1.7,310,3.6,995.5,-5,78.2,1372,8047,1,0,"9","5",2019,1,10,"12:00"
"230",-1.7,300,4.6,995.9,-6.1,71.9,2896,16093,1,0,"9","5",2019,1,10,"13:00"
"231",-1.7,290,3.6,996.4,-5.6,74.7,2743,16093,1,0,"9","5",2019,1,10,"14:00"
"232",-1.1,310,4.6,997.1,-5.6,71.5,1829,16093,1,0,"9","5",2019,1,10,"15:00"
"233",-2.2,300,6.2,998.1,-6.1,74.6,1494,14484,1,0,"2","5",2019,1,10,"16:00"
"234",-3.3,300,5.7,999.3,-7.8,71,1524,16093,1,0,"2","5",2019,1,10,"17:00"
"235",-5,310,4.6,1000.6,-9.4,71.3,2743,16093,1,0,"9","5",2019,1,10,"18:00"
"236",-5.6,310,6.7,1001.8,-10.6,67.8,22000,16093,1,0,"9","5",2019,1,10,"19:00"
"237",-7.2,290,5.7,1002.7,-11.1,73.7,22000,16093,1,0,"9","5",2019,1,10,"20:00"
"238",-7.8,280,6.7,1003.3,-12.2,70.7,22000,16093,1,0,"9","5",2019,1,10,"21:00"
"239",-8.3,300,6.7,1003.9,-13.3,67.2,22000,16093,1,0,"9","5",2019,1,10,"22:00"
"240",-9.4,290,3.1,1004.5,-13.9,69.8,22000,16093,1,0,"9","5",2019,1,10,"23:00"
"241",-9.4,290,4.1,1004.9,-14.4,67,22000,16093,1,0,"2","5",2019,1,11,"00:00"
"242",-9.4,300,5.1,1006,-13.9,69.8,22000,16093,1,0,"9","5",2019,1,11,"01:00"
"243",-10,290,4.6,1007.1,-14.4,70.2,22000,16093,1,0,"9","5",2019,1,11,"02:00"
"244",-10.6,300,6.2,1007.8,-15.6,66.7,22000,16093,1,0,"9","5",2019,1,11,"03:00"
"245",-10.6,300,5.7,1008.1,-16.1,64,22000,16093,1,0,"9","5",2019,1,11,"04:00"
"246",-11.1,290,5.7,1008.7,-16.1,66.6,22000,16093,1,0,"9","5",2019,1,11,"05:00"
"247",-11.1,300,5.7,1009.7,-16.7,63.3,22000,16093,1,0,"9","5",2019,1,11,"06:00"
"248",-12.2,300,3.6,1010.8,-16.7,69.1,22000,16093,1,0,"9","5",2019,1,11,"07:00"
"249",-12.2,300,3.1,1011.9,-17.2,66.3,22000,16093,1,0,"9","5",2019,1,11,"08:00"
"250",-11.7,300,4.1,1013.1,-16.7,66.4,22000,16093,1,0,"9","5",2019,1,11,"09:00"
"251",-10.6,300,3.6,1014,-16.7,60.9,22000,16093,1,0,"9","5",2019,1,11,"10:00"
"252",-10,290,5.1,1014.1,-16.7,58,22000,16093,1,0,"9","5",2019,1,11,"11:00"
"253",-9.4,300,6.7,1014.1,-16.1,58.2,22000,16093,1,0,"9","5",2019,1,11,"12:00"
"254",-10,270,6.7,1014.6,-17.2,55.7,22000,16093,1,0,"9","5",2019,1,11,"13:00"
"255",-10,270,6.7,1015.4,-17.2,55.7,22000,16093,1,0,"9","5",2019,1,11,"14:00"
"256",-10.6,280,6.2,1016.3,-17.8,55.5,22000,16093,1,0,"9","5",2019,1,11,"15:00"
"257",-11.1,290,4.6,1017.3,-17.8,57.7,22000,16093,1,0,"9","5",2019,1,11,"16:00"
